question,category,source
"What kind of system aims at integrating human well-being and economic needs of people working, living and recreating within the region?",6,bio
What are supported by working forests?,6,bio
The geographic scope for this initiative is focused on the outer coast of what?,6,bio
"The Bureau of Land Management and US Fish and Wildlife Service’s Refuge System own a fragmented, yet biologically important what?",6,bio
What is the northern boundary of the study area?,6,bio
This document presents a description of the primary ecological systems of the Pacific Coastal Ecoregion and recommends a framework for further LCD assessment and what?,6,bio
"What is critical to ensuring land remains available for agriculture, forestry, and natural resource functions?",6,bio
Existing tools are generally coarse or do not cover what?,6,bio
What approach will be used to identify planning targets?,0,bio
"The conservation targets include upland, aquatic, and wetland habitats that characterize what?",6,bio
What focused on finding ways to maintain resilient landscapes by keeping working lands working and other strategies?,6,bio
"The key characteristics that determine this geography are based on similarities within terrestrial, aquatic, and what?",6,bio
Who formed breakout groups to share perspectives of what they heard from the panelists?,6,bio
Who introduced participants to the principles of landscape conservation design followed by an overview of the LCD project?,6,bio
"Who identified their individual challenges, as well as strategies, tools, and programs to address them?",6,bio
There are several past efforts at conservation prioritization and design that build upon what?,6,bio
Who noted that addressing the problems tied to changing landscapes is not simple and thus require multi-stakeholder solutions?,6,bio
How many individuals contributed initial content from small forest landowners?,6,bio
How many speakers set the stage for the meeting by emphasizing the need for strong rural economies while conserving native fish and wildlife habitat?,6,bio
"What creates produce, fruit, pasture-raised meat, eggs, cut flowers, dairy, and nursery products?",6,bio
"What provide many benefits for the environment, wildlife and people?",6,bio
"Existing prioritizations (TNCs coastal ecoregional assessment, 2007) are considered somewhat dated and did not address key issues that our effort is addressing, namely climate impacts, future population growth and what?",6,bio
What is an economic driver?,6,bio
What is one of our core values?,6,bio
The study area is delineated based upon what?,6,bio
What limit the ability of DLCD to address changes in land use?,6,bio
There are no tools that depict socio-economic indicators that are relevant for what?,6,bio
What are causing some farmers to fold and sell out?,6,bio
"What are walking, hiking, biking, sightseeing, bird and wildlife watching, and fishing and hunting?",6,bio
What are indicators for the health of a system?,6,bio
The social networks analysis can be further developed to be more meaningful to what?,6,bio
"What provides clean air, water, carbon sequestering, habitat, jobs and beauty to NW Oregon’s quality of life?",4,bio
What percentage of the study area is in private ownership?,6,bio
Who convened the Large Forest Landowners caucus group?,6,bio
"From a socio-ecological perspective, this region has a very mixed what?",6,bio
"What focused on finding problems to fix, not on helping farmers who are trying to farm right do it better?",6,bio
Multidisciplinary research teams advance social learning about what?,6,bio
This partner engagement process provided the framework for developing what?,6,bio
"As a regional example, The Arid Lands Initiative (ALI) used Marxan to develop what?",0,bio
Inclusivity empowers a broad coalition of stakeholders to create what?,6,bio
For whom is long-term sustainability integral to business and way-of-life?,6,bio
In what town did the event described in this document take place?,6,bio
A key aspect of the technical approach is prototyping—building a holistic model and understanding of conservation in the region necessitates that we experience what?,6,bio
"Foundational literature in landscape ecology, conservation planning, and climate adaptation provide further reinforcement of what?",6,bio
Conservation Biology Institute is currently seeking to develop what they call an “early warning system” for biodiversity conservation where?,6,bio
Who recognized the important work going on to conserve this landscape?,6,bio
"Overall, the co-development of a spatial design helps organize landscape elements while maintaining and improving what?",6,bio
Marxan and Marzone (Marzone is a tool that provides more flexibility in identifying land uses beyond conservation) is an often used conservation planning tool to identify potential what?,6,bio
"What is a widely held core value, realized through disciplined and resourceful management?",6,bio
Who is USFWS Project Coordinator?,6,bio
Who think about and plan for the future everyday?,6,bio
What is the southern boundary of the study area?,6,bio
"Developing interdisciplinary assessments to provide a holistic, systems-based perspective of stakeholder interests requires what?",6,bio
How many people attended the “Working Lands and Conservation Community Meeting”?,6,bio
What does “LCD” stand for?,6,bio
"Who described challenges rural Southwest Washington communities face, such as increased risk of wildfire?",6,bio
How many ecological concepts will be a focus for this project?,6,bio
What are inextricably intertwined? Conservation and land management,6,bio
"Interdisciplinary assessment of social-ecological systems model risks and vulnerabilities, and suggest opportunities to trend toward what?",6,bio
Who is Washington State Commissioner of Public Lands?,6,bio
For what agency was the report prepared?,6,bio
The focus of this assessment was on tools used in what states?,0,bio
"Who said that ""Collaborative conservation moves people past the false “nature versus people” dichotomy to consider entire landscapes capable of achieving ecological, cultural, and economic benefits""?",6,bio
Incorporating goals and values that represent all landowners and land managers into the LCD process is critical for developing an actionable geography capable of supporting what?,6,bio
What are needed to increase coordination and effectiveness of forest regulatory programs?,6,bio
"Three concepts are central to ecological function--connectivity, diversity, and what?",6,bio
"This document is intended to be a dynamic document that changes, grows, and is refined through what?",6,bio
There is a need to understand how local or regional management decisions made by these various entities fit into a larger landscape-scale context of what?,6,bio
"This includes coastal forest, sandy beaches and coastal dunes, rocky shores and cliff, freshwater wetland, riverine, estuarine, and what?",6,bio
It’s important to articulate that Marxan does not provide what?,6,bio
"What provide conservation benefits including wildlife habitat, clean water and outdoor recreation?",4,bio
What agency is the largest public landowner in the study area?,6,bio
A key principle of Landscape Conservation Design is that “Stakeholders design landscape configurations that promote resilient and sustainable what?,6,bio
"This dynamic environment includes the Pacific Ocean and estuaries where coastal rivers meet the Pacific, and the coastal mountains to the crest of what?",6,bio
"Who hosted a one-day workshop in Warrenton, Oregon?",6,bio
"Several other local, county and state entities own and/or manage tracts of protected or semi-protected what?",6,bio
What will this effort attempt to articulate measurable indicators for?,6,bio
What truly matters to large landowners as they are in the land management business for the long term?,6,bio
"Along with the the above central ecological concepts, this effort aims to develop strategies to implement these concepts that are in alignment with what?",6,bio
Who hosted a field trip on their family tree farm adjacent to Millersylvania State Park south of Olympia?,6,bio
